certification_id,certification_name,provider,validity_months,primary_skill_id
CERT0425,Certified Food technologist Professional,AWS,12,SK0233
CERT0426,Certified Mudlogger Professional,AWS,24,SK0209
CERT0427,Certified Environmental health practitioner Professional,Internal,999,SK0050
CERT0428,"Certified Scientist, clinical (histocompatibility and immunogenetics) Professional",AWS,999,SK0061
CERT0429,"Certified Optician, dispensing Professional",Udemy,12,SK0243
CERT0430,Certified Manufacturing engineer Professional,Internal,12,SK0269
CERT0431,Certified Location manager Professional,Coursera,12,SK0140
CERT0432,"Certified Radiographer, therapeutic Professional",Google,24,SK0157
CERT0433,Certified Race relations officer Professional,AWS,999,SK0085
CERT0434,Certified Trade mark attorney Professional,LinkedIn Learning,24,SK0084
CERT0435,Certified Accounting technician Professional,AWS,36,SK0276
CERT0436,Certified Retail banker Professional,Coursera,36,SK0031
CERT0437,Certified Corporate treasurer Professional,Udemy,999,SK0008
CERT0438,Certified Printmaker Professional,Internal,12,SK0280
CERT0439,Certified Diagnostic radiographer Professional,AWS,12,SK0203
CERT0440,Certified Event organiser Professional,LinkedIn Learning,24,SK0033
CERT0441,Certified Camera operator Professional,Google,36,SK0298
CERT0442,"Certified Scientist, audiological Professional",Coursera,36,SK0143
CERT0443,Certified Health visitor Professional,Google,999,SK0037
CERT0444,"Certified Engineer, mining Professional",Google,36,SK0147
CERT0445,Certified Dealer Professional,LinkedIn Learning,12,SK0228
CERT0446,"Certified Embryologist, clinical Professional",Microsoft,12,SK0034
CERT0447,"Certified Designer, industrial/product Professional",Coursera,12,SK0237
CERT0448,Certified Medical illustrator Professional,Microsoft,999,SK0212
CERT0449,Certified Town planner Professional,LinkedIn Learning,24,SK0140
CERT0450,Certified Commissioning editor Professional,Internal,36,SK0190
CERT0451,Certified Event organiser Professional,Internal,999,SK0096
CERT0452,Certified Patent examiner Professional,Internal,24,SK0194
CERT0453,Certified Lawyer Professional,Google,999,SK0296
CERT0454,Certified Clothing/textile technologist Professional,Microsoft,36,SK0152
CERT0455,Certified Race relations officer Professional,Google,12,SK0223
CERT0456,Certified Quality manager Professional,Internal,24,SK0196
CERT0457,Certified Quality manager Professional,Google,24,SK0088
CERT0458,"Certified Engineer, materials Professional",Udemy,999,SK0299
CERT0459,Certified Therapeutic radiographer Professional,Coursera,999,SK0017
CERT0460,"Certified Designer, television/film set Professional",Coursera,12,SK0211
CERT0461,Certified Paediatric nurse Professional,Google,999,SK0232
CERT0462,Certified Advertising copywriter Professional,LinkedIn Learning,36,SK0183
CERT0463,Certified Financial planner Professional,AWS,36,SK0162
CERT0464,Certified Armed forces logistics/support/administrative officer Professional,Microsoft,36,SK0070
CERT0465,Certified Conference centre manager Professional,Coursera,36,SK0060
CERT0466,"Certified Teacher, secondary school Professional",Google,12,SK0179
CERT0467,"Certified Therapist, drama Professional",Microsoft,12,SK0077
CERT0468,"Certified Designer, multimedia Professional",LinkedIn Learning,12,SK0035
CERT0469,Certified Contractor Professional,Internal,999,SK0016
CERT0470,Certified Science writer Professional,AWS,12,SK0294
CERT0471,Certified Archaeologist Professional,LinkedIn Learning,24,SK0171
CERT0472,"Certified Teacher, primary school Professional",Udemy,24,SK0032
CERT0473,Certified Data processing manager Professional,Internal,24,SK0263
CERT0474,Certified Banker Professional,Internal,999,SK0215
CERT0475,Certified Dietitian Professional,Internal,999,SK0046
CERT0476,Certified Further education lecturer Professional,LinkedIn Learning,12,SK0189
CERT0477,Certified Education administrator Professional,Udemy,36,SK0274
CERT0478,"Certified Scientist, forensic Professional",AWS,24,SK0071
CERT0479,"Certified Optician, dispensing Professional",Microsoft,999,SK0296
CERT0480,Certified Tour manager Professional,LinkedIn Learning,24,SK0088
CERT0481,"Certified Surveyor, rural practice Professional",Coursera,12,SK0261
CERT0482,Certified Advertising account executive Professional,Coursera,999,SK0182
CERT0483,Certified Herpetologist Professional,LinkedIn Learning,36,SK0022
CERT0484,Certified Chartered certified accountant Professional,Microsoft,36,SK0074
CERT0485,"Certified Engineer, technical sales Professional",Coursera,999,SK0090
CERT0486,"Certified Production assistant, radio Professional",Microsoft,36,SK0166
CERT0487,Certified Training and development officer Professional,Internal,12,SK0234
CERT0488,Certified Public affairs consultant Professional,LinkedIn Learning,36,SK0129
CERT0489,Certified Race relations officer Professional,Internal,24,SK0292
CERT0490,"Certified Doctor, hospital Professional",Coursera,24,SK0095
CERT0491,Certified English as a foreign language teacher Professional,Microsoft,24,SK0028
CERT0492,Certified Paediatric nurse Professional,Internal,999,SK0035
CERT0493,Certified Tourist information centre manager Professional,Coursera,999,SK0231
CERT0494,Certified Customer service manager Professional,Google,999,SK0125
CERT0495,Certified Television floor manager Professional,Udemy,999,SK0079
CERT0496,"Certified Education officer, environmental Professional",Internal,999,SK0061
CERT0497,Certified Youth worker Professional,Udemy,12,SK0217
CERT0498,Certified Sales promotion account executive Professional,Udemy,999,SK0282
CERT0499,"Certified Geneticist, molecular Professional",AWS,36,SK0163
CERT0500,Certified Diplomatic Services operational officer Professional,Coursera,12,SK0057
