job_title,date,open_positions,average_market_salary
"Scientist, physiological",2025-09-03,1572,103527.32
Health and safety inspector,2025-01-17,1820,104502.83
Telecommunications researcher,2026-04-08,2278,77429.57
Theatre manager,2024-08-23,1688,83012.63
"Psychologist, occupational",2025-06-14,2018,112240.24
Minerals surveyor,2025-04-27,907,96406.08
"Scientist, physiological",2025-07-31,4095,135712.72
Insurance broker,2026-03-19,1192,99322.38
"Psychologist, educational",2026-05-22,4875,88177.89
Wellsite geologist,2024-11-11,2692,84505.51
Magazine journalist,2025-12-06,4672,172111.45
"Runner, broadcasting/film/video",2026-02-06,4030,122903.61
Energy engineer,2025-08-24,730,187874.8
Recycling officer,2025-04-13,3673,108086.98
General practice doctor,2024-09-11,4696,160897.28
Medical laboratory scientific officer,2025-03-03,3418,85005.23
Pharmacologist,2025-08-08,2787,61979.76
Wellsite geologist,2025-12-06,4350,139355.42
"Teacher, early years/pre",2025-11-24,3374,177930.27
Management consultant,2026-07-23,3850,74054.29
Immunologist,2025-08-23,3529,60220.3
Public house manager,2025-01-05,2703,156565.61
"Engineer, maintenance",2025-11-02,173,95797.04
Horticultural therapist,2026-07-18,4947,87373.81
Quarry manager,2025-12-02,4871,73466.62
Clothing/textile technologist,2025-03-24,3420,95579.18
Retail manager,2026-06-27,1239,174676.44
Education administrator,2025-08-02,3947,126941.52
Environmental health practitioner,2025-09-30,1948,187728.92
"Embryologist, clinical",2026-02-19,534,161645.43
Ranger/warden,2025-12-18,3642,106210.64
Magazine journalist,2026-05-06,564,128610.76
Midwife,2025-03-11,1309,103423.9
Manufacturing engineer,2026-03-24,528,87156.51
"Surveyor, planning and development",2025-11-30,2398,83534.43
Cabin crew,2026-04-09,4639,127278.53
Tree surgeon,2026-04-22,3110,60663.25
Multimedia programmer,2026-05-07,4898,145444.04
Technical brewer,2026-01-14,710,73304.18
Copy,2025-04-01,906,120365.51
Arts administrator,2025-01-18,2865,187012.91
Corporate treasurer,2026-02-10,1574,55926.7
Financial risk analyst,2026-03-27,3858,114036.27
"Conservation officer, nature",2026-02-26,268,112802.69
"Administrator, local government",2025-09-08,4633,114738.51
Museum education officer,2025-01-26,730,165907.59
"Psychologist, prison and probation services",2024-12-12,2745,56727.26
"Accountant, chartered certified",2024-10-04,2738,147547.79
Pathologist,2025-03-14,4600,126420.75
Heritage manager,2025-11-21,4661,51666.95
"Scientist, research (physical sciences)",2025-05-28,4801,157147.7
Hotel manager,2025-09-26,1488,103184.95
"Research officer, trade union",2026-01-22,627,71757.4
Historic buildings inspector/conservation officer,2025-07-13,950,173629.11
Music therapist,2024-08-05,3339,116714.93
Financial adviser,2026-04-22,4757,171124.83
Travel agency manager,2024-08-14,3561,195122.07
Forest/woodland manager,2024-10-09,1040,83154.43
Product/process development scientist,2025-04-21,3786,72685.18
"Conservator, museum/gallery",2025-02-21,3613,159602.85
Fine artist,2025-03-21,1644,122694.19
Medical technical officer,2026-07-13,721,153716.37
Community education officer,2025-07-27,4244,77115.23
Environmental consultant,2026-06-22,882,181787.04
Orthoptist,2025-07-12,907,198854.72
Clinical embryologist,2025-10-23,578,56994.76
Plant breeder/geneticist,2024-12-29,1146,57935.27
Music tutor,2026-03-10,3864,71614.63
Armed forces operational officer,2025-07-10,4168,179101.35
"Civil engineer, contracting",2025-03-15,2625,191457.03
Patent examiner,2025-08-27,3141,176058.25
Advice worker,2024-08-07,2164,197447.2
Wellsite geologist,2025-07-12,3184,110370.55
"Administrator, Civil Service",2025-03-26,2354,65753.58
Statistician,2026-07-23,4482,141537.35
Senior tax professional/tax inspector,2025-06-06,528,50598.76
"Production designer, theatre/television/film",2025-04-11,223,144372.74
Chief of Staff,2025-05-06,1823,128868.63
"Administrator, education",2025-12-28,1062,146525.56
Interior and spatial designer,2025-02-16,1521,60285.59
"Therapist, sports",2025-05-28,3945,160144.23
Mudlogger,2024-10-07,429,94540.09
Medical physicist,2024-12-29,1135,146973.42
Orthoptist,2025-01-18,764,116048.36
Equities trader,2024-09-16,2497,64520.95
Chartered certified accountant,2025-03-18,2115,189929.21
"Psychotherapist, child",2025-02-06,1976,186338.26
Publishing rights manager,2025-07-27,3619,88132.41
"Teacher, adult education",2025-11-07,1248,57700.44
Psychiatrist,2026-07-12,1441,160558.28
"Designer, furniture",2024-08-06,2440,193329.38
Marketing executive,2024-08-06,1802,90640.2
"Psychotherapist, child",2025-01-22,4079,51345.08
Lobbyist,2025-02-18,2498,180847.08
Ecologist,2026-05-15,3892,192846.25
"Scientist, product/process development",2026-02-23,1729,140536.79
Child psychotherapist,2025-09-11,985,95423.27
Music therapist,2026-03-31,2663,125490.12
Farm manager,2025-10-28,4186,181323.88
Air cabin crew,2026-05-14,4996,80395.0
Immunologist,2026-01-04,1824,195237.42
"Scientist, clinical (histocompatibility and immunogenetics)",2025-06-10,3901,96107.11
Trade mark attorney,2024-11-03,1670,197651.63
"Journalist, broadcasting",2025-11-06,109,75856.93
Dispensing optician,2025-04-23,2203,155368.09
Dispensing optician,2024-12-10,1625,53111.49
Risk analyst,2026-06-20,4667,175454.06
Higher education careers adviser,2026-01-11,1595,97201.96
General practice doctor,2025-12-04,845,110280.69
Chiropractor,2025-04-28,3520,121606.87
Phytotherapist,2026-01-06,2987,110324.73
Travel agency manager,2025-06-04,1545,157488.96
"Engineer, water",2025-12-19,2182,84695.22
Television camera operator,2025-10-23,2473,120954.83
Drilling engineer,2024-09-24,4119,155234.13
Research scientist (life sciences),2025-07-15,577,156830.54
Radio broadcast assistant,2026-04-30,807,115969.2
Seismic interpreter,2026-06-30,1457,161374.72
Occupational psychologist,2026-05-30,2302,168846.47
Animator,2025-04-18,1409,86655.33
"Engineer, communications",2026-07-21,3864,112640.96
Sports administrator,2025-06-04,1225,66056.58
Human resources officer,2025-05-20,2143,86152.61
Agricultural consultant,2025-07-17,585,190908.14
"Programmer, systems",2025-03-30,4499,117260.01
Civil Service administrator,2025-02-27,2906,154145.92
Energy manager,2024-09-27,4488,75875.61
Passenger transport manager,2025-02-23,1884,174833.2
Quality manager,2026-03-05,1960,107039.59
"Therapist, nutritional",2026-04-08,1075,146614.55
Fitness centre manager,2026-03-29,2714,170934.44
Plant breeder/geneticist,2024-08-24,4317,190889.62
"Teacher, music",2025-08-23,4340,117268.92
"Geologist, wellsite",2026-04-15,2516,54488.5
Catering manager,2025-01-24,1734,50470.63
Advertising art director,2024-10-23,1347,127119.71
"Designer, interior/spatial",2025-03-12,4430,165255.71
"Horticulturist, amenity",2024-10-21,4270,159382.09
Metallurgist,2026-06-21,3105,89402.23
Data scientist,2025-10-18,3295,195203.44
Secondary school teacher,2025-03-20,4834,81395.83
Financial risk analyst,2026-01-15,4893,111899.31
Magazine journalist,2024-09-07,100,175801.22
Civil Service fast streamer,2025-11-05,4286,150188.17
Statistician,2025-08-02,1719,156110.95
Animal technologist,2025-02-11,268,89995.83
"Administrator, local government",2026-02-06,4596,186599.19
Management consultant,2025-07-10,1322,85701.36
Occupational therapist,2026-01-22,1197,99628.21
"Runner, broadcasting/film/video",2026-08-03,4585,194439.93
Chief Financial Officer,2025-10-20,3216,75724.96
"Editor, magazine features",2025-03-10,1033,153857.32
"Radiographer, therapeutic",2025-08-17,2487,72653.6
Insurance claims handler,2025-04-21,1203,91736.77
Herpetologist,2026-06-26,720,176724.23
Writer,2024-10-09,4593,127324.3
"Production designer, theatre/television/film",2026-03-16,3994,78646.4
Food technologist,2026-02-08,555,131444.62
"Surveyor, quantity",2025-12-20,880,105288.93
Furniture designer,2026-07-30,1891,75549.1
Acupuncturist,2026-01-26,371,162249.34
Database administrator,2025-08-04,2711,189829.08
Occupational therapist,2024-12-21,2434,181904.9
Research scientist (life sciences),2026-02-26,3579,181289.55
Market researcher,2024-08-04,963,189835.16
"Education officer, community",2024-08-29,3081,186000.52
Product/process development scientist,2024-12-21,3574,84273.78
"Horticulturist, commercial",2026-07-16,2911,102052.5
Freight forwarder,2025-01-03,385,168293.85
Hospital doctor,2026-04-05,3772,129829.67
Writer,2026-05-29,3120,92627.26
Health visitor,2025-04-17,2682,77555.05
Barrister's clerk,2025-07-25,4139,143444.1
"Designer, exhibition/display",2026-03-29,4415,56409.1
"Therapist, sports",2026-03-08,1801,75407.96
Primary school teacher,2026-03-09,3228,134652.89
IT consultant,2025-03-12,3779,144131.5
Pensions consultant,2026-03-20,3000,189564.6
"Surveyor, insurance",2025-07-26,4042,157340.87
Tree surgeon,2025-02-16,335,81734.75
"Pharmacist, hospital",2026-03-21,2031,58829.18
Materials engineer,2025-03-31,1426,196214.24
Operational researcher,2025-03-26,418,52672.55
Consulting civil engineer,2024-12-16,1521,161611.09
Building control surveyor,2025-11-19,1964,80783.74
Retail manager,2025-09-07,2216,68971.22
Barista,2025-02-08,1632,182536.89
Private music teacher,2025-06-05,1492,189033.6
IT trainer,2025-11-11,4219,132960.08
"Engineer, electronics",2025-11-04,671,103740.2
Plant breeder/geneticist,2025-02-08,4063,116429.01
Publishing rights manager,2024-12-11,1466,116168.64
"Surveyor, planning and development",2024-10-25,56,159966.72
Manufacturing systems engineer,2026-05-04,799,137876.08
Call centre manager,2026-01-12,3120,79386.81
Fine artist,2025-09-17,2153,133406.54
Purchasing manager,2025-02-07,3473,98857.9
Museum/gallery exhibitions officer,2026-02-10,273,191144.55
"Engineer, agricultural",2026-05-08,2395,93165.39
Risk analyst,2025-06-26,347,116939.68
Bonds trader,2025-02-18,2199,196573.67
Armed forces training and education officer,2025-03-26,3354,54948.24
"Surveyor, quantity",2025-06-19,686,145679.75
"Psychotherapist, child",2024-12-24,3971,169372.42
Legal secretary,2024-10-27,4871,147104.03
Contractor,2024-11-26,2904,75411.38
"Surveyor, hydrographic",2024-10-09,1665,71650.53
Warden/ranger,2025-02-09,3885,75061.35
"Pharmacist, hospital",2025-08-25,1411,85930.36
Operational researcher,2024-11-15,2181,153334.13
Licensed conveyancer,2026-05-10,3941,158560.39
Exhibition designer,2025-07-22,3942,119125.27
"Engineer, structural",2026-02-13,1222,53722.34
Hotel manager,2024-08-20,2132,165548.17
Data processing manager,2025-03-18,679,116186.47
Multimedia specialist,2024-09-11,190,178798.31
Commercial/residential surveyor,2025-01-31,4517,152732.78
Warden/ranger,2024-09-04,3316,81517.61
Patent attorney,2026-07-03,2930,59082.15
Catering manager,2025-08-29,2364,152028.45
Radio broadcast assistant,2025-11-03,2115,64321.2
Nutritional therapist,2025-12-28,590,123091.48
"Designer, television/film set",2024-09-15,3057,154703.07
Counselling psychologist,2025-01-09,4648,83577.32
Marketing executive,2025-12-14,2549,193076.03
Insurance claims handler,2024-08-13,4045,185651.66
"Psychologist, forensic",2024-10-29,886,55300.17
Land/geomatics surveyor,2026-06-11,4164,103616.62
Sports development officer,2025-11-29,2506,166028.17
"Psychologist, occupational",2026-05-29,52,119466.42
Electronics engineer,2024-12-24,4131,183379.69
Health physicist,2024-12-09,4041,87943.82
Educational psychologist,2026-01-20,2824,62462.34
Physiotherapist,2025-11-23,2538,128846.08
Special educational needs teacher,2026-06-21,2281,93482.72
Higher education careers adviser,2025-06-10,4738,52437.23
Control and instrumentation engineer,2024-11-02,3589,194462.11
Toxicologist,2025-04-14,180,98331.76
Air broker,2025-01-03,975,57729.98
"Designer, multimedia",2026-07-29,959,63759.0
Advertising account planner,2025-11-02,1000,115463.04
Museum/gallery exhibitions officer,2026-03-12,4319,189232.02
Geochemist,2025-10-07,471,106693.71
Special educational needs teacher,2025-03-01,4816,195217.5
Adult nurse,2025-11-26,2479,169453.34
"Pilot, airline",2025-05-09,1807,140868.45
Prison officer,2025-10-07,3854,170639.59
Intelligence analyst,2026-07-23,3173,82055.6
"Geologist, engineering",2025-07-21,139,129458.93
Pension scheme manager,2025-07-30,1344,192215.32
Clinical cytogeneticist,2025-02-06,836,91812.08
Mining engineer,2026-01-06,4270,115239.76
Ranger/warden,2025-12-29,1896,76623.08
Glass blower/designer,2024-08-15,1587,77388.3
"Therapist, art",2024-10-12,2968,177940.98
Land,2025-06-02,1289,184494.25
Chartered public finance accountant,2025-01-04,3797,193592.03
Industrial/product designer,2025-01-24,2656,83212.16
Land,2024-11-27,4376,113751.55
Bonds trader,2025-05-07,3602,138375.91
Charity fundraiser,2025-04-01,3800,142819.77
"Geneticist, molecular",2025-10-03,428,74049.37
Quantity surveyor,2025-07-31,4384,66521.12
Training and development officer,2026-03-02,3892,61208.76
"Programme researcher, broadcasting/film/video",2025-08-18,3641,111437.02
Computer games developer,2024-12-17,4519,67467.82
Bonds trader,2025-07-26,3995,163371.95
"Radiographer, therapeutic",2025-05-12,239,66083.33
Music tutor,2024-10-31,4066,56441.65
Location manager,2025-02-12,4223,142810.26
Energy engineer,2025-12-16,1983,105362.23
Advertising art director,2025-10-19,3140,126755.35
Diplomatic Services operational officer,2025-10-23,1828,132959.62
Software engineer,2024-09-21,3678,126711.22
"Psychologist, clinical",2024-10-06,3103,112812.7
"Psychologist, occupational",2026-03-13,834,124116.2
Company secretary,2025-02-10,3640,76841.97
Learning disability nurse,2026-06-23,695,132396.64
Information officer,2026-07-08,256,159815.85
Planning and development surveyor,2026-06-22,909,156196.98
Broadcast journalist,2026-06-24,95,176704.04
"Engineer, manufacturing systems",2025-06-16,2672,88986.86
"Geneticist, molecular",2024-08-15,4285,131234.21
Horticultural consultant,2025-09-17,904,123593.28
Multimedia programmer,2025-09-28,1516,150818.63
Media planner,2024-09-13,4588,90794.01
Hydrologist,2026-03-25,961,118456.11
Music tutor,2025-05-04,2481,152466.76
"Engineer, automotive",2026-05-16,4967,144833.04
Firefighter,2024-12-26,3163,85991.3
"Surveyor, quantity",2026-02-01,2988,175551.46
Pathologist,2024-12-19,302,105514.93
Waste management officer,2026-01-28,302,106230.52
"Social research officer, government",2024-12-27,1460,149368.34
Midwife,2026-03-23,1961,165737.05
Air cabin crew,2026-02-15,1408,73504.27
Architectural technologist,2025-11-02,369,174748.38
Prison officer,2026-07-26,3265,133681.59
"Scientist, marine",2026-04-10,4192,130188.62
Academic librarian,2026-05-20,1320,52809.26
Tax inspector,2026-05-27,2448,114234.28
"Scientist, research (maths)",2026-05-21,3133,131964.98
Dispensing optician,2026-07-22,1785,140575.3
"Teacher, early years/pre",2025-05-27,4688,172725.92
Surgeon,2026-06-25,3460,195813.09
Glass blower/designer,2025-01-01,4251,66854.72
Publishing copy,2025-06-08,3881,132155.75
Plant breeder/geneticist,2024-10-16,4505,107281.91
Retail merchandiser,2026-08-04,157,142029.84
Senior tax professional/tax inspector,2026-04-05,3006,106503.09
IT sales professional,2025-03-30,4264,108691.28
Warden/ranger,2026-02-07,793,118631.83
Dispensing optician,2025-05-26,3903,185718.69
Jewellery designer,2024-11-24,4569,53077.46
Drilling engineer,2025-08-27,3151,140463.92
"Engineer, electrical",2024-12-28,290,145996.86
Games developer,2026-07-03,216,81580.57
Academic librarian,2026-06-27,842,121820.06
"Administrator, sports",2026-06-21,596,140543.22
Magazine journalist,2025-09-16,4439,115423.46
Photographer,2024-09-26,4839,192325.42
"Engineer, communications",2025-05-18,3087,121112.21
Leisure centre manager,2024-11-27,1233,112255.32
IT trainer,2024-08-18,2271,97118.69
Microbiologist,2025-04-08,1592,155582.42
Osteopath,2025-08-23,4655,131883.49
Media planner,2025-04-15,3110,82060.16
Chartered public finance accountant,2024-10-12,3721,140038.79
Accommodation manager,2025-01-27,2945,118575.51
Cabin crew,2025-01-10,887,197949.49
Forest/woodland manager,2026-01-21,3868,80190.33
Microbiologist,2025-10-07,2941,171836.41
"Surveyor, rural practice",2025-06-09,2212,90422.74
"Designer, blown glass/stained glass",2025-03-20,1377,144031.63
"Engineer, broadcasting (operations)",2026-01-13,1056,139479.97
Forest/woodland manager,2025-07-29,2272,181749.14
Purchasing manager,2024-09-17,2530,57636.73
"Horticulturist, commercial",2025-09-11,3343,115119.82
Broadcast engineer,2026-01-29,4300,147693.88
Translator,2025-10-13,591,135754.18
"Social research officer, government",2024-11-20,4585,187140.66
Cartographer,2024-10-19,3722,139829.29
Quality manager,2025-03-10,757,93926.95
"Scientist, audiological",2024-09-25,3409,84558.11
Youth worker,2024-09-10,4150,123789.72
Mental health nurse,2024-09-18,1398,103496.87
Paediatric nurse,2025-07-30,2521,141200.37
"Engineer, electronics",2026-05-18,3295,127192.02
Tree surgeon,2025-07-15,4084,162934.44
Contractor,2025-04-26,3158,101673.99
"Buyer, industrial",2025-08-22,2160,75168.56
"Psychotherapist, dance movement",2025-10-08,2546,125235.3
Advertising account executive,2025-02-18,4571,70618.31
Warehouse manager,2026-03-23,2809,179934.46
"Civil engineer, consulting",2025-11-10,648,137852.95
"Designer, jewellery",2026-06-26,2033,68343.44
"Engineer, materials",2025-07-17,4256,96187.57
Insurance risk surveyor,2025-06-29,2925,164667.77
Housing manager/officer,2026-06-06,2051,135076.5
"Engineer, chemical",2025-07-08,4598,91527.86
"Engineer, materials",2025-10-14,2478,159477.42
Immunologist,2025-11-27,1252,150696.82
Mental health nurse,2024-11-17,999,115165.64
"Pharmacist, hospital",2026-02-03,2657,117822.0
Statistician,2026-06-23,4707,161272.71
Media buyer,2025-09-25,1766,86842.95
Dramatherapist,2024-12-12,2125,187187.6
"Producer, radio",2024-11-03,4189,140437.34
Farm manager,2025-07-21,613,197862.92
Microbiologist,2025-08-22,1374,148839.5
"Sales professional, IT",2025-07-01,799,134988.52
Museum/gallery exhibitions officer,2024-08-30,3143,77307.82
Biomedical scientist,2026-06-16,1294,173553.93
"Designer, jewellery",2024-11-11,3103,152871.24
"Journalist, magazine",2024-10-26,4782,75498.63
Tourism officer,2025-09-26,1381,175365.7
Air traffic controller,2024-10-05,4340,189604.2
Optometrist,2026-02-22,4026,124960.29
Magazine journalist,2025-10-10,4418,87614.26
Lawyer,2026-03-27,3318,140451.28
Financial adviser,2026-06-01,3863,114168.8
IT consultant,2025-08-01,1293,153044.71
Financial adviser,2024-08-18,3744,165763.07
"Surveyor, rural practice",2025-04-06,4687,157542.85
Cabin crew,2025-05-21,4722,197989.14
"Biochemist, clinical",2025-07-26,3158,169448.65
Armed forces training and education officer,2025-08-21,1333,134115.58
"Engineer, civil (consulting)",2026-05-25,2921,91314.21
Prison officer,2024-11-30,888,160934.73
Landscape architect,2025-10-27,3868,172545.09
Contractor,2024-12-10,1337,142923.15
Translator,2026-02-06,1352,158146.99
Toxicologist,2026-07-03,278,88803.45
Curator,2026-06-10,962,90630.56
"Accountant, chartered public finance",2024-10-29,977,132529.14
Automotive engineer,2026-06-18,3969,66549.39
Furniture designer,2026-01-10,96,67132.16
Brewing technologist,2025-02-11,419,198378.09
Social researcher,2025-01-09,57,149769.08
Adult nurse,2025-02-25,2730,169398.94
"Research officer, government",2025-12-23,886,73186.11
"Pharmacist, hospital",2026-03-16,13,70100.98
"Radiographer, diagnostic",2025-06-06,2041,155046.47
Financial adviser,2026-05-18,4902,144383.23
Sports therapist,2025-03-28,1196,167323.59
"Psychologist, counselling",2026-06-26,1593,123167.7
Solicitor,2025-02-13,235,91206.2
Aeronautical engineer,2025-03-21,882,81439.96
Primary school teacher,2025-02-24,1969,85507.06
Aid worker,2024-09-25,4159,110319.07
"Therapist, art",2026-06-17,945,64684.14
Theatre stage manager,2025-04-29,2216,176672.83
"Accountant, chartered management",2026-01-19,1487,155065.58
Insurance claims handler,2025-12-27,4433,186289.38
Information officer,2025-09-16,1845,196319.28
"Education officer, environmental",2024-12-23,1713,178747.12
Electronics engineer,2026-07-25,2812,188329.52
Editorial assistant,2026-02-22,3269,173748.23
"Accountant, chartered certified",2026-04-22,4269,148218.55
Dietitian,2024-12-07,4522,87199.86
"Accountant, chartered",2024-12-11,2077,191276.21
Waste management officer,2025-01-11,1391,83909.54
Clinical molecular geneticist,2025-06-28,1357,177248.65
"Nurse, adult",2026-05-26,4544,142099.98
Television floor manager,2026-04-07,1774,184204.11
Amenity horticulturist,2024-08-13,234,123969.59
Planning and development surveyor,2025-04-23,3453,153249.86
"Therapist, sports",2026-01-31,2511,146392.16
Wellsite geologist,2025-10-17,4266,110212.74
Homeopath,2025-12-05,308,55420.97
"Engineer, broadcasting (operations)",2024-09-20,1327,191602.64
Police officer,2026-03-03,979,165500.86
"Surveyor, land/geomatics",2024-10-11,615,163964.67
"Social research officer, government",2025-09-10,4849,73773.04
Patent attorney,2025-08-21,2307,53540.52
Housing manager/officer,2025-12-19,246,160753.07
"Psychologist, counselling",2025-08-28,3041,137682.77
Bookseller,2026-02-22,3408,82537.58
Gaffer,2026-01-12,725,154896.43
Herbalist,2025-01-20,4449,96189.36
Chartered public finance accountant,2025-08-09,1554,186286.93
Warden/ranger,2025-06-20,4849,56536.76
"Therapist, horticultural",2026-03-02,3287,175794.47
Advertising account planner,2025-03-27,4403,99274.25
Media planner,2025-11-12,2031,132986.7
Clinical research associate,2025-09-26,1781,58628.16
Warehouse manager,2025-12-14,2881,115910.28
Sport and exercise psychologist,2024-08-21,2429,132379.8
Lexicographer,2024-11-16,3257,156948.88
Local government officer,2026-01-14,3513,154194.28
Adult guidance worker,2024-10-29,2213,75480.85
Medical laboratory scientific officer,2025-04-16,1950,86559.81
"Geologist, engineering",2024-08-13,4426,171602.28
Meteorologist,2026-07-08,2240,68607.49
Mudlogger,2026-07-19,1472,129258.29
Multimedia programmer,2025-10-21,3888,89948.11
Product designer,2026-01-26,2605,183953.16
Photographer,2025-10-09,2642,153556.84
Nutritional therapist,2025-12-30,2032,170071.61
Translator,2026-01-29,1867,195699.6
"Engineer, maintenance (IT)",2025-12-10,2846,117627.09
"Scientist, biomedical",2024-08-23,4859,58770.74
"Designer, multimedia",2025-06-03,2598,160385.63
Seismic interpreter,2026-06-13,25,195924.51
Further education lecturer,2026-02-17,1626,82056.76
Environmental health practitioner,2025-05-03,4359,160265.53
Ophthalmologist,2026-05-03,264,186378.06
Midwife,2025-10-30,1705,56810.37
"Engineer, civil (contracting)",2024-11-23,4209,104336.1
Glass blower/designer,2026-07-09,4196,145405.37
Patent attorney,2025-01-23,1269,53911.8
Radio producer,2025-06-06,4505,157496.67
Trading standards officer,2025-11-24,800,92377.4
Educational psychologist,2025-07-18,1234,141320.08
Sports therapist,2024-10-08,1105,51217.43
Theatre stage manager,2026-07-19,577,148429.25
Records manager,2026-01-19,4584,188356.24
Hydrogeologist,2025-09-18,145,124623.96
Operational researcher,2026-01-09,4571,152542.29
Sub,2026-07-19,92,134231.61
Museum/gallery conservator,2025-03-12,4776,91465.44
Arboriculturist,2026-04-19,621,97786.61
"Librarian, academic",2026-02-24,1407,151616.94
Commercial horticulturist,2025-07-12,3329,79801.36
Writer,2026-07-26,2904,174283.26
"Engineer, manufacturing",2026-06-08,3457,86971.0
Analytical chemist,2025-09-16,2709,87521.89
Learning mentor,2025-12-12,3294,143163.5
Event organiser,2025-09-04,3671,196523.05
Sports therapist,2026-03-01,3688,145929.29
Regulatory affairs officer,2024-08-04,4575,53930.19
Nature conservation officer,2025-10-31,688,113230.15
Podiatrist,2024-10-13,2418,195421.13
TEFL teacher,2025-11-12,2600,130268.88
"Accountant, chartered management",2025-04-06,1340,134666.46
"Development worker, community",2026-04-29,4746,196022.43
Further education lecturer,2025-06-22,3863,84188.62
"Presenter, broadcasting",2026-04-14,363,79924.16
Tree surgeon,2026-06-06,2374,101467.59
Electrical engineer,2025-07-12,2919,129650.8
Holiday representative,2024-11-02,3856,110866.74
Engineering geologist,2025-06-03,23,198480.28
"Runner, broadcasting/film/video",2025-10-02,1246,87337.87
"Engineer, aeronautical",2026-05-25,895,61618.39
Medical illustrator,2025-04-11,3110,132297.06
Education administrator,2025-01-25,4235,106555.99
Product designer,2025-03-14,2768,181482.79
Magazine journalist,2025-11-11,2455,50541.13
Marine scientist,2025-08-17,3678,124028.53
Air broker,2025-02-24,2878,197190.99
"Engineer, drilling",2025-08-15,4213,134079.36
Secretary/administrator,2025-11-13,3776,142539.83
Fashion designer,2026-03-27,1899,114947.6
"Therapist, sports",2026-04-17,462,100565.18
Microbiologist,2025-01-25,4165,139204.89
Public relations officer,2025-05-10,4863,173743.48
Sport and exercise psychologist,2025-01-10,668,188780.09
Neurosurgeon,2025-06-17,3028,92319.42
Editorial assistant,2026-02-10,935,168054.64
Cabin crew,2025-07-29,3943,183152.18
"Teacher, primary school",2024-10-06,2411,143171.42
"Psychotherapist, child",2025-12-25,3686,173515.59
Careers adviser,2026-02-15,209,197293.48
"Psychotherapist, child",2026-08-03,4592,194380.64
Therapeutic radiographer,2025-09-15,3699,55861.65
"Sound technician, broadcasting/film/video",2025-07-22,2705,137325.01
Prison officer,2025-10-21,3921,86957.07
"Administrator, sports",2026-01-29,1656,138062.91
"Pilot, airline",2024-10-28,1257,111578.78
Insurance account manager,2024-09-21,2349,130150.46
Television floor manager,2025-10-22,1699,174496.13
Publishing rights manager,2026-04-03,3617,74720.1
"Development worker, community",2024-11-13,732,79708.33
Drilling engineer,2025-11-05,2201,192940.54
Tourism officer,2024-09-14,1911,166296.79
Nutritional therapist,2025-01-12,1115,180172.45
Sub,2026-06-01,3304,84601.0
Audiological scientist,2026-05-06,1183,56740.34
Associate Professor,2024-09-17,1347,159420.35
Tour manager,2025-12-19,3503,133016.65
Industrial/product designer,2026-06-04,4758,131770.82
Television production assistant,2025-04-08,1161,107061.29
Retail merchandiser,2026-02-21,2132,102768.53
English as a second language teacher,2025-01-05,3244,187840.62
Building control surveyor,2026-07-17,1042,132172.97
Hospital doctor,2024-10-21,2045,62034.78
Sales executive,2024-11-26,4000,92622.54
"Therapist, drama",2024-08-14,2586,76621.92
Hospital doctor,2025-02-13,389,180118.38
"Engineer, maintenance",2025-01-03,3133,194718.01
Learning mentor,2025-03-16,66,99817.03
"Designer, furniture",2025-03-07,4105,78298.92
Arboriculturist,2025-06-18,3134,147062.29
Naval architect,2025-10-16,877,134926.76
Acupuncturist,2026-01-31,4966,176235.71
"Scientist, research (life sciences)",2025-01-30,1025,109486.49
Publishing rights manager,2026-02-16,557,134323.26
Claims inspector/assessor,2025-10-29,1059,130468.12
Recycling officer,2025-11-15,2771,69862.45
Jewellery designer,2026-06-29,3933,184758.34
"Pilot, airline",2025-02-07,4961,151991.77
Furniture designer,2025-10-10,358,158963.64
Professor Emeritus,2026-04-06,1114,95584.61
Clinical biochemist,2024-10-16,3479,59020.48
Osteopath,2026-05-14,3036,88641.63
Publishing copy,2025-06-09,964,88026.28
Barista,2026-04-10,752,148882.89
Mechanical engineer,2026-02-27,413,131231.01
Fisheries officer,2025-07-10,2354,88062.87
"Journalist, newspaper",2025-12-05,3994,124392.12
"Runner, broadcasting/film/video",2024-09-20,2426,68453.95
"Editor, magazine features",2025-10-20,1915,93280.06
Chief of Staff,2024-08-21,1864,87108.49
Occupational hygienist,2025-08-29,650,151402.17
Tour manager,2025-02-03,559,71854.95
"Engineer, technical sales",2025-06-15,1166,133733.99
Arts administrator,2025-11-20,911,134072.44
Counsellor,2026-01-08,1466,150799.9
Hydrologist,2025-12-24,1238,69047.59
Animal nutritionist,2024-08-15,1992,140679.99
"Secretary, company",2026-06-10,4966,158230.11
"Designer, jewellery",2025-06-22,2731,88211.61
"Research officer, government",2025-02-10,3218,116763.58
"Exhibitions officer, museum/gallery",2024-09-26,2705,162453.86
Field seismologist,2025-05-06,4573,82115.91
Ecologist,2024-09-13,3896,132130.52
Event organiser,2026-03-09,1489,69448.52
"Journalist, newspaper",2026-02-22,4818,62227.94
Public affairs consultant,2025-08-06,2960,185677.21
Public relations officer,2024-08-16,1540,60785.76
"Geneticist, molecular",2026-04-30,335,81190.21
Homeopath,2025-10-04,4571,97109.29
Herbalist,2026-03-11,2730,150586.2
Cabin crew,2026-01-22,1441,186429.44
Building control surveyor,2025-11-15,2039,163540.48
Private music teacher,2024-09-05,4282,123920.62
Police officer,2025-01-24,2006,186277.35
