lp_id,lp_name,course_ids,target_skill_id
LP305,Path to Communications engineer,"C00357,C00860,C00687,C00631,C00106,C00120,C00552,C00407,C00275",SK0161
LP306,Path to Occupational hygienist,"C00642,C00205,C00407,C00776,C00312,C00281,C00876,C00123,C00486",SK0176
LP307,Path to Financial manager,"C00398,C00482,C00001,C00199,C00787,C00382,C00782,C00855",SK0078
LP308,Path to Acupuncturist,"C00033,C00606,C00039,C00868,C00693,C00133,C00505",SK0178
LP309,Path to Archivist,"C00183,C00166,C00981,C00787,C00519,C00621",SK0224
LP310,Path to Television camera operator,"C00931,C00787,C00515,C00633,C00384,C00955,C00568,C00413",SK0180
LP311,Path to Public relations officer,"C00275,C00504,C00764,C00126,C00960,C00788,C00449,C00875",SK0203
LP312,"Path to Therapist, occupational","C00470,C00116,C00036,C00004,C00569,C00511,C00564",SK0072
LP313,"Path to Designer, fashion/clothing","C00417,C00146,C00508",SK0158
LP314,Path to Meteorologist,"C00271,C00274,C00477,C00576,C00783,C00785,C00899,C00333,C00070",SK0224
LP315,Path to Chartered public finance accountant,"C00326,C00358,C00538,C00775,C00117,C00789,C00997,C00993",SK0090
LP316,Path to Fish farm manager,"C00545,C00337,C00927,C00229,C00730,C00970,C00984,C00192",SK0069
LP317,"Path to Designer, industrial/product","C00024,C00900,C00841,C00011,C00499,C00591",SK0281
LP318,Path to Restaurant manager,"C00669,C00053,C00907,C00193,C00176,C00737",SK0207
LP319,"Path to Chemist, analytical","C00881,C00546,C00136,C00627,C00156",SK0010
LP320,Path to Water engineer,"C00410,C00114,C00736,C00759,C00863",SK0231
LP321,Path to Lexicographer,"C00620,C00401,C00904,C00338,C00002",SK0253
LP322,Path to Best boy,"C00982,C00121,C00643,C00867,C00983,C00504",SK0192
LP323,Path to Best boy,"C00565,C00006,C00091,C00998,C00950,C00310,C00576",SK0102
LP324,Path to Market researcher,"C00409,C00642,C00744,C00736,C00705,C00594,C00932,C00470,C00543",SK0249
LP325,"Path to Designer, exhibition/display","C00935,C00919,C00649,C00306,C00195,C00133",SK0126
LP326,Path to Software engineer,"C00564,C00910,C00379",SK0204
LP327,Path to Clinical biochemist,"C00646,C00501,C00760,C00472,C00272,C00873",SK0188
LP328,Path to Comptroller,"C00004,C00878,C00888,C00669,C00866",SK0095
LP329,Path to Ranger/warden,"C00857,C00002,C00428,C00942",SK0065
LP330,"Path to Exhibitions officer, museum/gallery","C00520,C00892,C00379,C00494,C00769,C00108,C00314,C00525,C00118",SK0234
LP331,Path to Investment analyst,"C00480,C00063,C00327,C00960",SK0204
LP332,"Path to Surveyor, insurance","C00461,C00515,C00725,C00620",SK0169
LP333,"Path to Loss adjuster, chartered","C00496,C00326,C00769,C00026,C00018,C00513,C00534",SK0080
LP334,Path to Print production planner,"C00622,C00190,C00160,C00530,C00927,C00693,C00959,C00865,C00356",SK0083
LP335,"Path to Engineer, automotive","C00189,C00591,C00118,C00157,C00838",SK0226
LP336,Path to Advertising art director,"C00310,C00011,C00988",SK0216
LP337,Path to Multimedia programmer,"C00837,C00587,C00657,C00390,C00879,C00619,C00204,C00654,C00181",SK0177
LP338,Path to Materials engineer,"C00588,C00939,C00121,C00935,C00923,C00354",SK0262
LP339,Path to Contractor,"C00578,C00625,C00849,C00700,C00590,C00903,C00496",SK0047
LP340,Path to Fitness centre manager,"C00662,C00514,C00910,C00268,C00094",SK0223
LP341,Path to Archaeologist,"C00813,C00775,C00852,C00217,C00231",SK0113
LP342,Path to Radio producer,"C00709,C00167,C00079",SK0288
LP343,Path to Primary school teacher,"C00871,C00185,C00910",SK0025
LP344,"Path to Surveyor, land/geomatics","C00958,C00974,C00069",SK0106
LP345,Path to Hospital pharmacist,"C00594,C00934,C00666",SK0107
LP346,Path to Special effects artist,"C00163,C00191,C00378,C00347,C00081,C00594,C00521,C00826",SK0293
LP347,Path to Recruitment consultant,"C00963,C00986,C00838,C00067,C00780,C00841,C00198,C00913,C00985",SK0259
LP348,Path to Energy manager,"C00489,C00162,C00246,C00874,C00892,C00158,C00458,C00848,C00872",SK0118
LP349,Path to Tax adviser,"C00504,C00469,C00115,C00437,C00063,C00949,C00069,C00928",SK0094
LP350,"Path to Embryologist, clinical","C00667,C00795,C00581,C00075,C00539",SK0095
LP351,Path to Speech and language therapist,"C00638,C00440,C00049,C00312,C01000,C00504,C00166,C00682",SK0190
LP352,Path to Magazine features editor,"C00818,C00321,C00821",SK0206
LP353,Path to Jewellery designer,"C00767,C00398,C00322,C00452,C00031",SK0212
LP354,Path to Psychotherapist,"C00397,C00027,C00445,C00509",SK0276
LP355,Path to Haematologist,"C00982,C00518,C00055,C00559,C00405,C00067,C00882,C00284",SK0190
LP356,Path to Tour manager,"C00797,C00840,C00315,C00286,C00230,C00505,C00504,C00931",SK0070
LP357,"Path to Surveyor, building","C00159,C00106,C00992,C00065",SK0010
LP358,"Path to Designer, multimedia","C00146,C00574,C00285,C00449,C00644,C00812",SK0224
LP359,Path to Broadcast presenter,"C00655,C00666,C00056",SK0088
LP360,Path to Set designer,"C00606,C00128,C00106,C00806,C00661",SK0112
LP361,"Path to Designer, fashion/clothing","C00181,C00878,C00090,C00097,C00537,C00086,C00254,C00018",SK0107
LP362,"Path to Production assistant, television","C00077,C00035,C00817,C00491,C00502",SK0137
LP363,Path to Hotel manager,"C00400,C00447,C00678,C00873,C00738,C00950",SK0232
LP364,Path to General practice doctor,"C00968,C00970,C00061,C00702",SK0174
LP365,Path to Special educational needs teacher,"C00194,C00466,C00568,C00389,C00494,C00501,C00864",SK0273
LP366,Path to Medical technical officer,"C00791,C00321,C00790,C00409,C00126,C00148,C00298",SK0189
LP367,Path to Professor Emeritus,"C00461,C00997,C00038,C00075,C00141,C00308",SK0014
LP368,Path to Academic librarian,"C00418,C00061,C00551,C00042,C00836",SK0096
LP369,Path to Risk manager,"C00918,C00596,C00034,C00371",SK0110
LP370,Path to Museum education officer,"C00991,C00955,C00987,C00495,C00724,C00447",SK0204
LP371,Path to Electrical engineer,"C00323,C00682,C00106,C00903",SK0133
LP372,Path to Advertising account executive,"C00859,C00780,C00626,C00961",SK0008
LP373,Path to Water quality scientist,"C00159,C00770,C00596,C00406,C00198,C00812,C00502",SK0241
LP374,Path to Medical physicist,"C00455,C00522,C00137,C00779,C00374,C00764",SK0279
LP375,Path to Web designer,"C00416,C00480,C00202,C00979,C00453,C00542,C00714,C00421",SK0264
LP376,Path to Field trials officer,"C00992,C00897,C01000,C00881,C00715,C00747,C00018",SK0004
LP377,Path to IT sales professional,"C00275,C00050,C00619,C00013,C00249",SK0005
LP378,Path to Biomedical scientist,"C00994,C00975,C00342,C00725,C00486,C00786",SK0271
LP379,Path to Solicitor,"C00400,C00699,C00495",SK0213
LP380,Path to Naval architect,"C00403,C00451,C00102,C00221,C00426,C00624,C00943,C00429",SK0053
LP381,Path to Energy manager,"C00063,C00610,C00243,C00604,C00160,C00773,C00633,C01000",SK0226
LP382,"Path to Scientist, research (physical sciences)","C00829,C00883,C00864",SK0082
LP383,Path to Research scientist (medical),"C00242,C00646,C00560,C00255,C00520,C00273,C00735,C00026",SK0108
LP384,Path to Structural engineer,"C00225,C00915,C00270,C00002,C00550,C00790,C00190",SK0074
LP385,"Path to Designer, exhibition/display","C00661,C00077,C00051,C00701,C00065,C00733,C00952",SK0139
LP386,Path to Video editor,"C00462,C00505,C00936",SK0029
LP387,Path to Heritage manager,"C00590,C00295,C00969,C00442,C00803,C00752,C00329,C00412",SK0209
LP388,Path to IT trainer,"C00165,C00863,C00060,C00970,C00469,C00139",SK0002
LP389,Path to Outdoor activities/education manager,"C00854,C00807,C00775,C00340,C00615,C00511,C00963,C00083",SK0115
LP390,Path to IT technical support officer,"C00807,C00423,C00526,C00959,C00299",SK0086
LP391,Path to Clinical psychologist,"C00811,C00391,C00554",SK0086
LP392,Path to Chief Operating Officer,"C00107,C00849,C00941,C00401,C00970,C00427,C00274",SK0114
LP393,"Path to Scientist, research (medical)","C00607,C00725,C00376,C00587,C00679,C00951,C00983",SK0174
LP394,Path to Broadcast engineer,"C00296,C00473,C00493,C00562,C00223,C00213,C00471",SK0264
LP395,Path to Armed forces logistics/support/administrative officer,"C00618,C00391,C00393,C00960",SK0024
LP396,"Path to Conservation officer, nature","C00711,C00581,C00239,C00433,C00938,C00217,C00841",SK0074
LP397,"Path to Editor, magazine features","C00249,C00351,C00478,C00983,C00877,C00422,C00033,C00947",SK0047
LP398,Path to Ambulance person,"C00490,C00822,C00748",SK0224
LP399,"Path to Engineer, drilling","C00225,C00899,C00008,C00862",SK0225
LP400,Path to Clinical biochemist,"C00813,C00647,C00918,C00563,C00696,C00971,C00567,C00014,C00535",SK0160
LP401,"Path to Radiographer, diagnostic","C00019,C00782,C00227,C00097,C00111,C00221,C00108,C00979",SK0245
LP402,"Path to Engineer, agricultural","C00236,C00098,C00222,C00160,C00577",SK0128
LP403,Path to Child psychotherapist,"C00872,C00350,C00005,C00366,C00022,C00352,C00229",SK0243
LP404,Path to Ambulance person,"C00901,C00602,C00853,C00973,C00933,C00654,C00489,C00671",SK0285
LP405,"Path to Teacher, English as a foreign language","C00010,C00509,C00867",SK0042
LP406,Path to Network engineer,"C00428,C00163,C00454,C00272",SK0294
LP407,Path to Recruitment consultant,"C00277,C00518,C00316,C00853,C00301,C00309,C00674",SK0128
LP408,Path to Secondary school teacher,"C00435,C00382,C00362,C00491",SK0074
LP409,Path to Youth worker,"C00902,C00608,C00970,C00482,C00539,C00841,C00770,C00591",SK0065
LP410,Path to Therapeutic radiographer,"C00556,C00905,C00702,C00881",SK0176
LP411,Path to Furniture conservator/restorer,"C00334,C00573,C00668",SK0205
LP412,Path to Artist,"C00760,C00341,C00879,C00086,C00674,C00208,C00987,C00069,C00270",SK0046
LP413,Path to Medical technical officer,"C00245,C00975,C00524",SK0172
LP414,Path to Environmental consultant,"C00764,C00476,C00784,C00831,C00766",SK0080
LP415,Path to Trading standards officer,"C00829,C00410,C00674,C00846,C00339,C00735,C00627,C00072",SK0052
LP416,Path to Building services engineer,"C00028,C00764,C00643,C00731,C00450,C00869,C00256,C00035,C00443",SK0131
LP417,"Path to Administrator, Civil Service","C00161,C00518,C00512,C00043,C00878,C00038,C00694,C00379,C00412",SK0089
LP418,"Path to Engineer, manufacturing","C00285,C00300,C00379,C00473,C00771",SK0087
LP419,Path to Regulatory affairs officer,"C00857,C00620,C00795,C00081,C00471,C00961,C00699,C00168",SK0174
LP420,Path to Cartographer,"C00076,C00341,C00720,C00938,C00922,C00907,C00107",SK0226
LP421,Path to Psychotherapist,"C00442,C00577,C00435,C00629,C00469,C00504,C00991",SK0239
LP422,"Path to Biochemist, clinical","C00474,C00906,C00563,C00499,C00010,C00485",SK0145
LP423,Path to Media planner,"C00347,C00216,C00322,C00354,C00245,C00670",SK0241
LP424,"Path to Surveyor, insurance","C00565,C00283,C00463,C00521,C00504,C00677,C00054",SK0158
LP425,Path to Pathologist,"C00497,C00293,C00643,C00051,C00890,C00711",SK0233
LP426,"Path to Merchandiser, retail","C00745,C00936,C00827,C00415,C00543,C00545",SK0194
LP427,Path to Barrister,"C00297,C00926,C00683,C00498,C00993,C00289,C00021",SK0100
LP428,Path to Warehouse manager,"C00668,C00210,C00198,C00087,C00727,C00677,C00978,C00582,C00838",SK0084
LP429,Path to Geographical information systems officer,"C00785,C00350,C00527,C00204,C00822",SK0291
LP430,Path to Seismic interpreter,"C00189,C00912,C00196",SK0231
LP431,Path to Architect,"C00216,C00308,C00518,C00636",SK0080
LP432,Path to Building services engineer,"C00283,C00516,C00191,C00435,C00440",SK0091
LP433,Path to Industrial buyer,"C00488,C00517,C00959,C00062,C00019,C00255",SK0286
LP434,Path to Careers adviser,"C00438,C00996,C00888,C00531,C00871,C00765",SK0136
LP435,"Path to Engineer, technical sales","C00364,C00640,C00889,C00349,C00405,C00487,C00509,C00102,C00059",SK0146
LP436,"Path to Scientist, physiological","C00263,C00257,C00129",SK0015
LP437,Path to Chief Strategy Officer,"C00312,C00236,C00227,C00967,C00056",SK0238
LP438,Path to Chiropractor,"C00478,C00399,C00912,C00407,C00730,C00306,C00590,C00793",SK0123
LP439,Path to Exercise physiologist,"C00266,C00390,C00551",SK0188
LP440,Path to Ship broker,"C00030,C00344,C00838,C00568,C00725,C00404",SK0239
LP441,Path to Musician,"C00176,C00329,C00047,C00930,C00102,C00586,C00871,C00521",SK0118
LP442,Path to Energy manager,"C00547,C00304,C00553,C00579,C00139,C00941,C00978,C00718,C00783",SK0146
LP443,"Path to Engineer, automotive","C00874,C00344,C00181",SK0151
LP444,Path to Secondary school teacher,"C00799,C00686,C00956,C00986,C00151,C00054,C00983,C00366",SK0195
LP445,Path to Fish farm manager,"C00441,C00116,C00794,C00986,C00094,C00092",SK0297
LP446,"Path to Teacher, early years/pre","C00175,C00614,C00542,C00622,C00703",SK0109
LP447,Path to Editorial assistant,"C00020,C00446,C00777,C00576",SK0218
LP448,"Path to Surveyor, insurance","C00385,C00005,C00903,C00507,C00436,C00647,C00984,C00942",SK0248
LP449,"Path to Surveyor, insurance","C00067,C00194,C00666,C00413,C00834,C00449,C00485,C00685,C00365",SK0192
LP450,Path to Pathologist,"C00785,C00896,C00907,C00867,C00748,C00996,C00268",SK0160
LP451,Path to Claims inspector/assessor,"C00323,C00336,C00512",SK0197
LP452,Path to Technical author,"C00673,C00843,C00806,C00128,C00009,C00736,C00178,C00740,C00202",SK0099
LP453,Path to Materials engineer,"C00227,C00293,C00933,C00770,C00240,C00786,C00849,C00009",SK0048
LP454,Path to Proofreader,"C00426,C00629,C00041,C00834,C00550,C00468,C00670,C00193,C00212",SK0174
LP455,Path to Physiotherapist,"C00581,C00767,C00035,C00349",SK0092
LP456,Path to Civil Service administrator,"C00367,C00175,C00752,C00230,C00540,C00063,C00949,C00635",SK0074
LP457,Path to Dietitian,"C00194,C00057,C00374,C00002,C00016,C00498,C00491,C00459",SK0205
LP458,Path to Education administrator,"C00788,C00051,C00847,C00465,C00839,C00067",SK0262
LP459,Path to Statistician,"C00542,C00183,C00744,C00831,C00241,C00870,C00905",SK0058
LP460,Path to Operational investment banker,"C00560,C00538,C00917",SK0124
LP461,Path to Retail merchandiser,"C00322,C00474,C00026,C00274,C00579,C00939,C00113,C00706",SK0217
LP462,Path to Leisure centre manager,"C00709,C00790,C00093,C00380,C00756,C00995",SK0069
LP463,"Path to Designer, industrial/product","C00170,C00671,C00738",SK0198
LP464,"Path to Social research officer, government","C00885,C00830,C00577,C00210,C00233,C00616,C00249",SK0124
LP465,Path to Tourism officer,"C00835,C00280,C00993,C00788",SK0048
LP466,Path to Probation officer,"C00254,C00410,C00888",SK0284
LP467,Path to Management consultant,"C00779,C00969,C00117,C00199,C00863",SK0035
LP468,Path to International aid/development worker,"C00099,C00046,C00896,C00466,C00359",SK0187
LP469,Path to Statistician,"C00058,C00720,C00661",SK0244
LP470,"Path to Journalist, broadcasting","C00112,C00313,C00285,C00650,C00967,C00281,C00904,C00857,C00665",SK0283
LP471,Path to Meteorologist,"C00112,C00194,C00264,C00574,C00615,C00994",SK0062
LP472,Path to Passenger transport manager,"C00240,C00296,C00887,C00391,C00265,C00204",SK0278
LP473,Path to Planning and development surveyor,"C00836,C00068,C00815,C00829,C00451,C00911",SK0239
LP474,Path to Jewellery designer,"C00239,C00606,C00216,C00817",SK0018
LP475,Path to Transport planner,"C00923,C00019,C00173,C00566,C00110,C00574,C00848",SK0187
LP476,Path to Financial adviser,"C00040,C00059,C00705,C00389,C00911,C00066,C00458,C00354",SK0186
LP477,"Path to Surveyor, quantity","C00705,C00446,C00164,C00765,C00085",SK0276
LP478,Path to Sports administrator,"C00329,C00054,C00840,C00907,C00059",SK0040
LP479,"Path to Engineer, site","C00462,C00459,C00021,C00733,C00056,C00864,C00978,C00133,C00935",SK0169
LP480,Path to Mining engineer,"C00712,C00621,C00932,C00105,C00842,C00013,C00598",SK0281
LP481,Path to Statistician,"C00173,C00659,C00306,C00421",SK0050
LP482,Path to Forest/woodland manager,"C00019,C00122,C00577,C00700",SK0151
LP483,Path to Media buyer,"C00477,C00075,C00879,C00927,C00673,C00841",SK0008
LP484,Path to Production manager,"C00736,C00152,C00324,C00948",SK0275
LP485,Path to Product/process development scientist,"C00479,C00697,C00573,C00672,C00980,C00707,C00105",SK0224
LP486,Path to Occupational psychologist,"C00168,C00878,C00283,C00298,C00266,C00658",SK0008
LP487,Path to Academic librarian,"C00867,C00772,C00202,C00550,C00727,C00875,C00602",SK0260
LP488,Path to Animal nutritionist,"C00241,C00514,C00205,C00233",SK0241
LP489,Path to Higher education careers adviser,"C00711,C00533,C00046,C00675,C00827,C00932,C00655,C01000,C00539",SK0132
LP490,"Path to Therapist, occupational","C00895,C00098,C00980,C00507,C00250,C00289,C00066",SK0294
LP491,"Path to Administrator, sports","C00086,C00251,C00494,C00936,C00961",SK0064
LP492,"Path to Scientist, marine","C00981,C00464,C00550,C00899,C00621,C00935,C00213,C00264,C00740",SK0277
LP493,Path to Control and instrumentation engineer,"C00289,C00476,C00757,C00144,C00206,C00684",SK0019
LP494,Path to Immigration officer,"C00181,C00189,C00434,C00570,C00155,C00984,C00033,C00453,C00861",SK0192
LP495,Path to Accounting technician,"C00696,C00526,C00499",SK0155
LP496,Path to Hydrologist,"C00446,C00102,C00052,C00599",SK0150
LP497,Path to Environmental education officer,"C00936,C00734,C00762,C00562,C00108,C00905,C00472",SK0185
LP498,"Path to Engineer, site","C00621,C00933,C00441",SK0046
LP499,Path to International aid/development worker,"C00777,C00405,C00041,C00627,C00687",SK0183
LP500,Path to Advertising copywriter,"C00631,C00051,C00020,C01000,C00976,C00425,C00247,C00828,C00983",SK0063
