interview_id,candidate_id,interviewer_id,score,result
INT07045,CAND08742,EMP04129,1.6,Pass
INT07046,CAND03056,EMP09387,3.2,Fail
INT07047,CAND14446,EMP04216,1.9,Pass
INT07048,CAND12455,EMP09122,4.8,Fail
INT07049,CAND02083,EMP01097,3.2,Fail
INT07050,CAND03588,EMP06796,2.0,Fail
INT07051,CAND04082,EMP07509,1.5,Pass
INT07052,CAND05731,EMP09060,3.0,Pass
INT07053,CAND08476,EMP02225,3.0,Fail
INT07054,CAND00322,EMP03574,4.8,Pass
INT07055,CAND07770,EMP00623,1.7,Pass
INT07056,CAND09234,EMP09138,4.9,Pass
INT07057,CAND13752,EMP00346,1.0,Fail
INT07058,CAND14444,EMP05213,1.4,Pass
INT07059,CAND11615,EMP07287,1.6,Fail
INT07060,CAND08987,EMP08536,2.2,Fail
INT07061,CAND10389,EMP00877,3.8,Fail
INT07062,CAND12860,EMP07582,3.5,Pass
INT07063,CAND00660,EMP05544,4.1,Fail
INT07064,CAND10566,EMP05012,4.9,Pass
INT07065,CAND12098,EMP03150,3.9,Pass
INT07066,CAND06795,EMP04616,5.0,Pass
INT07067,CAND13665,EMP00248,4.7,Pass
INT07068,CAND12402,EMP01418,2.4,Pass
INT07069,CAND05529,EMP05775,3.2,Fail
INT07070,CAND07989,EMP09061,3.2,Pass
INT07071,CAND09528,EMP01903,3.2,Fail
INT07072,CAND04542,EMP06245,1.6,Pass
INT07073,CAND12526,EMP06869,2.3,Pass
INT07074,CAND09085,EMP09768,3.4,Pass
INT07075,CAND13384,EMP03879,2.4,Pass
INT07076,CAND03985,EMP03813,3.3,Pass
INT07077,CAND00188,EMP00768,2.0,Pass
INT07078,CAND13643,EMP04762,3.6,Fail
INT07079,CAND02808,EMP04918,1.5,Fail
INT07080,CAND10915,EMP08184,3.5,Pass
INT07081,CAND00773,EMP05771,1.4,Pass
INT07082,CAND07683,EMP00655,4.3,Fail
INT07083,CAND12663,EMP00753,4.4,Pass
INT07084,CAND09640,EMP08236,2.5,Pass
INT07085,CAND08873,EMP02640,2.5,Fail
INT07086,CAND05335,EMP03965,1.3,Pass
INT07087,CAND01673,EMP09377,2.3,Fail
INT07088,CAND02420,EMP05362,3.3,Pass
INT07089,CAND05336,EMP01186,4.9,Fail
INT07090,CAND01391,EMP08748,2.2,Pass
INT07091,CAND12887,EMP08980,2.6,Fail
INT07092,CAND02790,EMP09084,2.3,Fail
INT07093,CAND12905,EMP04578,2.4,Fail
INT07094,CAND05419,EMP02818,4.5,Fail
INT07095,CAND10894,EMP00283,2.7,Fail
INT07096,CAND10714,EMP03239,1.9,Fail
INT07097,CAND05828,EMP07605,1.8,Fail
INT07098,CAND06479,EMP02024,1.9,Fail
INT07099,CAND07476,EMP04577,3.4,Fail
INT07100,CAND10954,EMP06062,4.5,Pass
INT07101,CAND00614,EMP08867,2.1,Fail
INT07102,CAND06960,EMP00272,4.0,Pass
INT07103,CAND02273,EMP05138,1.8,Pass
INT07104,CAND13501,EMP00183,4.9,Pass
INT07105,CAND13945,EMP04642,3.7,Pass
INT07106,CAND14481,EMP02398,2.8,Pass
INT07107,CAND07978,EMP01915,4.7,Fail
INT07108,CAND10960,EMP04618,1.4,Pass
INT07109,CAND02024,EMP03140,4.4,Fail
INT07110,CAND03266,EMP09012,3.9,Fail
INT07111,CAND01380,EMP00905,3.4,Pass
INT07112,CAND08330,EMP08741,1.1,Pass
INT07113,CAND10676,EMP09343,2.7,Fail
INT07114,CAND07459,EMP06902,3.9,Pass
INT07115,CAND13850,EMP01105,1.9,Pass
INT07116,CAND01253,EMP06648,4.6,Pass
INT07117,CAND14915,EMP09628,3.6,Pass
INT07118,CAND12080,EMP01475,1.6,Pass
INT07119,CAND08118,EMP05318,4.3,Fail
INT07120,CAND09286,EMP02303,1.9,Pass
INT07121,CAND05543,EMP00328,1.3,Fail
INT07122,CAND09381,EMP04983,2.0,Pass
INT07123,CAND00243,EMP00106,3.3,Fail
INT07124,CAND08075,EMP02241,4.2,Fail
INT07125,CAND06988,EMP08232,4.4,Pass
INT07126,CAND11247,EMP04122,4.4,Pass
INT07127,CAND01049,EMP07551,2.7,Pass
INT07128,CAND05500,EMP00428,1.9,Fail
INT07129,CAND05663,EMP07876,4.2,Pass
INT07130,CAND06136,EMP04538,2.8,Pass
INT07131,CAND13378,EMP09495,2.1,Pass
INT07132,CAND11809,EMP06213,2.9,Fail
INT07133,CAND06021,EMP02854,2.5,Pass
INT07134,CAND03027,EMP04604,4.1,Pass
INT07135,CAND11350,EMP05111,5.0,Fail
INT07136,CAND00811,EMP05180,4.5,Pass
INT07137,CAND13328,EMP08119,3.9,Pass
INT07138,CAND12437,EMP03362,1.6,Pass
INT07139,CAND11966,EMP07839,1.1,Pass
INT07140,CAND13240,EMP01544,3.7,Fail
INT07141,CAND09773,EMP08897,2.4,Pass
INT07142,CAND08903,EMP09708,3.5,Fail
INT07143,CAND09301,EMP07438,1.5,Pass
INT07144,CAND06977,EMP04890,3.3,Pass
INT07145,CAND09239,EMP08600,1.3,Fail
INT07146,CAND10153,EMP02264,3.7,Pass
INT07147,CAND00270,EMP00782,2.9,Pass
INT07148,CAND10571,EMP05774,2.5,Pass
INT07149,CAND02077,EMP00770,2.7,Fail
INT07150,CAND10168,EMP07001,4.9,Pass
INT07151,CAND10434,EMP05267,1.8,Fail
INT07152,CAND06887,EMP03069,1.8,Pass
INT07153,CAND11286,EMP03463,3.5,Pass
INT07154,CAND08009,EMP08786,3.7,Fail
INT07155,CAND06746,EMP05191,4.0,Fail
INT07156,CAND04491,EMP07153,3.2,Pass
INT07157,CAND13106,EMP02744,5.0,Fail
INT07158,CAND06343,EMP07551,1.7,Fail
INT07159,CAND10785,EMP07983,4.4,Pass
INT07160,CAND13460,EMP04642,4.2,Pass
INT07161,CAND06038,EMP06740,4.5,Pass
INT07162,CAND14348,EMP03117,3.9,Pass
INT07163,CAND04073,EMP09328,2.1,Pass
INT07164,CAND05833,EMP02609,1.8,Fail
INT07165,CAND02951,EMP01437,3.7,Pass
INT07166,CAND02857,EMP00546,3.5,Pass
INT07167,CAND13146,EMP07395,2.1,Fail
INT07168,CAND00093,EMP07936,1.2,Pass
INT07169,CAND14858,EMP08684,1.2,Pass
INT07170,CAND12337,EMP01092,1.7,Fail
INT07171,CAND08428,EMP07811,1.8,Pass
INT07172,CAND10431,EMP06314,2.4,Pass
INT07173,CAND04224,EMP02813,4.4,Fail
INT07174,CAND11031,EMP08026,1.5,Pass
INT07175,CAND00581,EMP02717,3.7,Fail
INT07176,CAND00990,EMP08513,4.3,Fail
INT07177,CAND02092,EMP04828,1.6,Fail
INT07178,CAND09512,EMP03045,1.7,Fail
INT07179,CAND01968,EMP00637,3.1,Pass
INT07180,CAND03254,EMP06636,1.2,Fail
INT07181,CAND11680,EMP04085,3.1,Fail
INT07182,CAND13650,EMP01854,4.1,Fail
INT07183,CAND12995,EMP05755,2.3,Fail
INT07184,CAND09083,EMP04751,2.4,Pass
INT07185,CAND11311,EMP00290,2.9,Pass
INT07186,CAND10399,EMP08868,4.6,Pass
INT07187,CAND12681,EMP05729,2.8,Pass
INT07188,CAND06487,EMP08622,1.6,Fail
INT07189,CAND12443,EMP09635,4.3,Fail
INT07190,CAND03702,EMP09189,1.1,Pass
INT07191,CAND05249,EMP08133,1.3,Fail
INT07192,CAND13245,EMP00095,3.2,Fail
INT07193,CAND13004,EMP05386,3.2,Fail
INT07194,CAND08498,EMP04773,4.6,Pass
INT07195,CAND03633,EMP02553,2.9,Fail
INT07196,CAND08942,EMP08336,3.2,Pass
INT07197,CAND05701,EMP09402,1.3,Pass
INT07198,CAND07826,EMP03501,2.6,Pass
INT07199,CAND09326,EMP07526,2.4,Pass
INT07200,CAND11424,EMP08920,1.2,Fail
INT07201,CAND11086,EMP02462,4.5,Pass
INT07202,CAND11310,EMP00637,1.2,Fail
INT07203,CAND09007,EMP01006,1.3,Fail
INT07204,CAND12979,EMP01725,4.8,Pass
INT07205,CAND00590,EMP06816,1.2,Fail
INT07206,CAND13823,EMP03960,2.1,Fail
INT07207,CAND07433,EMP08445,4.1,Fail
INT07208,CAND10683,EMP00804,4.3,Fail
INT07209,CAND11140,EMP09255,2.0,Fail
INT07210,CAND03261,EMP08998,4.5,Pass
INT07211,CAND08517,EMP02195,3.0,Fail
INT07212,CAND00117,EMP09652,2.3,Fail
INT07213,CAND04608,EMP02491,1.8,Pass
INT07214,CAND01782,EMP06291,4.9,Fail
INT07215,CAND14365,EMP07116,2.2,Pass
INT07216,CAND11380,EMP02514,4.5,Fail
INT07217,CAND03407,EMP02497,3.5,Fail
INT07218,CAND08660,EMP05937,2.3,Fail
INT07219,CAND03671,EMP08285,3.5,Pass
INT07220,CAND03318,EMP00681,1.9,Fail
INT07221,CAND01578,EMP00568,4.3,Fail
INT07222,CAND13607,EMP02480,1.0,Pass
INT07223,CAND06499,EMP01256,1.4,Fail
INT07224,CAND04730,EMP02722,3.1,Fail
INT07225,CAND08899,EMP02529,2.6,Fail
INT07226,CAND05177,EMP09257,3.1,Fail
INT07227,CAND03841,EMP09312,1.6,Pass
INT07228,CAND09644,EMP02211,1.2,Fail
INT07229,CAND02377,EMP03888,1.3,Pass
INT07230,CAND11132,EMP00549,1.1,Fail
INT07231,CAND11960,EMP08491,1.5,Fail
INT07232,CAND01366,EMP02759,3.6,Pass
INT07233,CAND03125,EMP07128,3.5,Fail
INT07234,CAND10073,EMP05446,1.7,Fail
INT07235,CAND08712,EMP06404,1.3,Pass
INT07236,CAND05591,EMP02940,5.0,Pass
INT07237,CAND09448,EMP00570,3.0,Pass
INT07238,CAND08649,EMP04180,3.2,Pass
INT07239,CAND01437,EMP09237,3.4,Fail
INT07240,CAND04533,EMP05087,2.4,Pass
INT07241,CAND01002,EMP08299,4.4,Fail
INT07242,CAND04398,EMP08711,2.2,Pass
INT07243,CAND10163,EMP05961,2.5,Pass
INT07244,CAND03533,EMP06697,4.3,Pass
INT07245,CAND09421,EMP02333,4.8,Pass
INT07246,CAND00381,EMP08280,1.9,Pass
INT07247,CAND07962,EMP08217,3.4,Pass
INT07248,CAND07717,EMP03130,3.9,Fail
INT07249,CAND14418,EMP05279,4.4,Fail
INT07250,CAND12439,EMP03568,3.4,Pass
INT07251,CAND12938,EMP00818,1.0,Fail
INT07252,CAND12223,EMP08059,4.1,Pass
INT07253,CAND11738,EMP09913,3.6,Pass
INT07254,CAND08803,EMP04062,4.0,Pass
INT07255,CAND08223,EMP08899,3.1,Fail
INT07256,CAND06924,EMP00655,3.6,Pass
INT07257,CAND01198,EMP01405,4.4,Pass
INT07258,CAND00134,EMP01717,2.0,Fail
INT07259,CAND07340,EMP09015,1.7,Fail
INT07260,CAND01673,EMP03091,3.6,Fail
INT07261,CAND05366,EMP09360,4.5,Pass
INT07262,CAND07489,EMP02897,4.9,Pass
INT07263,CAND00644,EMP03833,4.9,Pass
INT07264,CAND12306,EMP05223,3.1,Pass
INT07265,CAND07109,EMP07368,1.1,Fail
INT07266,CAND08808,EMP01558,1.1,Fail
INT07267,CAND05676,EMP02507,4.6,Fail
INT07268,CAND07759,EMP00335,2.5,Pass
INT07269,CAND08489,EMP05508,4.6,Fail
INT07270,CAND09865,EMP00334,4.7,Fail
INT07271,CAND12279,EMP07535,2.0,Pass
INT07272,CAND06944,EMP05648,4.1,Fail
INT07273,CAND14331,EMP04622,2.1,Fail
INT07274,CAND00402,EMP08871,2.2,Pass
INT07275,CAND00790,EMP06872,3.9,Fail
INT07276,CAND02798,EMP00277,2.0,Fail
INT07277,CAND06549,EMP09504,3.1,Fail
INT07278,CAND14206,EMP08818,3.3,Pass
INT07279,CAND04917,EMP09449,3.7,Pass
INT07280,CAND10637,EMP07000,4.0,Pass
INT07281,CAND10480,EMP05460,3.7,Fail
INT07282,CAND13841,EMP01152,3.1,Pass
INT07283,CAND10711,EMP07309,1.9,Fail
INT07284,CAND04615,EMP01395,4.5,Fail
INT07285,CAND09739,EMP01004,4.2,Pass
INT07286,CAND13269,EMP06792,3.3,Pass
INT07287,CAND14466,EMP05348,2.3,Fail
INT07288,CAND08260,EMP07276,3.5,Fail
INT07289,CAND05399,EMP08883,3.7,Pass
INT07290,CAND10879,EMP01016,2.7,Pass
INT07291,CAND14462,EMP06838,2.3,Fail
INT07292,CAND07121,EMP00292,1.3,Pass
INT07293,CAND14975,EMP02866,3.5,Pass
INT07294,CAND10125,EMP01336,4.1,Pass
INT07295,CAND00595,EMP03429,4.0,Pass
INT07296,CAND14552,EMP09114,5.0,Pass
INT07297,CAND05753,EMP02130,1.5,Pass
INT07298,CAND08849,EMP08927,4.4,Fail
INT07299,CAND12499,EMP00254,4.5,Fail
INT07300,CAND12771,EMP08719,4.6,Fail
INT07301,CAND00057,EMP08755,2.6,Fail
INT07302,CAND06094,EMP07476,4.5,Fail
INT07303,CAND01502,EMP04492,3.7,Pass
INT07304,CAND02134,EMP08432,2.5,Pass
INT07305,CAND02281,EMP02916,4.8,Pass
INT07306,CAND10271,EMP05896,2.2,Pass
INT07307,CAND14463,EMP02324,4.3,Pass
INT07308,CAND04725,EMP06698,1.7,Pass
INT07309,CAND07890,EMP07353,2.5,Pass
INT07310,CAND06554,EMP07548,1.3,Fail
INT07311,CAND04679,EMP07019,1.5,Fail
INT07312,CAND06703,EMP06302,4.3,Pass
INT07313,CAND12742,EMP08295,2.3,Fail
INT07314,CAND09281,EMP09691,3.8,Pass
INT07315,CAND11432,EMP08497,4.8,Fail
INT07316,CAND00850,EMP00759,3.7,Pass
INT07317,CAND10659,EMP04530,3.7,Fail
INT07318,CAND02663,EMP03461,1.3,Pass
INT07319,CAND09407,EMP07736,3.5,Fail
INT07320,CAND10721,EMP07695,2.9,Pass
INT07321,CAND02466,EMP05692,4.2,Pass
INT07322,CAND01039,EMP08439,3.4,Fail
INT07323,CAND14657,EMP05904,3.4,Fail
INT07324,CAND02384,EMP06506,2.1,Fail
INT07325,CAND00868,EMP05182,1.5,Fail
INT07326,CAND12150,EMP08944,1.1,Fail
INT07327,CAND09840,EMP05235,3.6,Pass
INT07328,CAND07779,EMP01143,2.8,Fail
INT07329,CAND06108,EMP05704,3.6,Fail
INT07330,CAND04008,EMP03171,4.2,Pass
INT07331,CAND10628,EMP03872,2.4,Pass
INT07332,CAND08305,EMP00265,1.6,Fail
INT07333,CAND04348,EMP06123,5.0,Fail
INT07334,CAND06714,EMP06888,3.2,Fail
INT07335,CAND04415,EMP02235,3.4,Fail
INT07336,CAND06445,EMP05525,1.0,Fail
INT07337,CAND14928,EMP00469,2.7,Pass
INT07338,CAND05438,EMP06165,3.0,Pass
INT07339,CAND00837,EMP02250,2.7,Fail
INT07340,CAND02287,EMP05478,3.0,Fail
INT07341,CAND08244,EMP01364,3.0,Fail
INT07342,CAND05972,EMP09637,1.7,Fail
INT07343,CAND05770,EMP01601,3.3,Fail
INT07344,CAND08041,EMP05027,4.8,Fail
INT07345,CAND09031,EMP03604,3.5,Pass
INT07346,CAND02253,EMP09737,4.3,Fail
INT07347,CAND00513,EMP02926,2.6,Fail
INT07348,CAND00184,EMP06354,5.0,Fail
INT07349,CAND00960,EMP09947,2.9,Fail
INT07350,CAND09409,EMP06563,1.4,Fail
INT07351,CAND00415,EMP03058,3.5,Fail
INT07352,CAND07060,EMP08317,3.3,Fail
INT07353,CAND09093,EMP07057,4.8,Fail
INT07354,CAND13271,EMP01538,1.5,Pass
INT07355,CAND13641,EMP04770,4.7,Pass
INT07356,CAND06593,EMP08584,2.6,Pass
INT07357,CAND14303,EMP07948,3.2,Pass
INT07358,CAND14278,EMP06394,3.2,Pass
INT07359,CAND00327,EMP05801,3.2,Fail
INT07360,CAND00635,EMP06808,4.1,Fail
INT07361,CAND13298,EMP06752,3.6,Pass
INT07362,CAND10106,EMP08055,3.1,Pass
INT07363,CAND02278,EMP06821,1.2,Pass
INT07364,CAND00632,EMP06692,3.9,Fail
INT07365,CAND04648,EMP09026,4.2,Fail
INT07366,CAND09149,EMP08273,1.9,Pass
INT07367,CAND10388,EMP02997,1.1,Pass
INT07368,CAND02320,EMP08184,4.1,Fail
INT07369,CAND00728,EMP06346,3.9,Fail
INT07370,CAND13000,EMP04893,1.1,Fail
INT07371,CAND10455,EMP08570,3.0,Fail
INT07372,CAND03211,EMP07609,3.3,Pass
INT07373,CAND09243,EMP07187,1.4,Fail
INT07374,CAND05337,EMP08680,3.7,Fail
INT07375,CAND03212,EMP07911,1.3,Pass
INT07376,CAND12424,EMP03449,2.7,Fail
INT07377,CAND11558,EMP05379,3.8,Pass
INT07378,CAND10952,EMP04038,1.7,Fail
INT07379,CAND11745,EMP00211,2.5,Pass
INT07380,CAND07056,EMP09299,1.4,Fail
INT07381,CAND02820,EMP05507,2.9,Pass
INT07382,CAND07003,EMP01919,4.6,Fail
INT07383,CAND00067,EMP02576,2.2,Pass
INT07384,CAND05175,EMP04177,2.2,Fail
INT07385,CAND11828,EMP06440,1.7,Fail
INT07386,CAND01257,EMP04832,3.9,Pass
INT07387,CAND03140,EMP02713,4.5,Fail
INT07388,CAND04312,EMP02521,1.9,Fail
INT07389,CAND01225,EMP04353,2.9,Fail
INT07390,CAND11032,EMP01193,1.0,Fail
INT07391,CAND01781,EMP00410,3.8,Fail
INT07392,CAND14717,EMP06212,2.0,Pass
INT07393,CAND06799,EMP08774,2.9,Fail
INT07394,CAND10651,EMP09314,3.0,Pass
INT07395,CAND11052,EMP00534,4.9,Fail
INT07396,CAND10648,EMP08944,1.8,Fail
INT07397,CAND12254,EMP09731,5.0,Fail
INT07398,CAND02031,EMP00177,3.7,Pass
INT07399,CAND14861,EMP03294,2.4,Fail
INT07400,CAND02025,EMP08985,3.7,Fail
INT07401,CAND03117,EMP08235,1.8,Fail
INT07402,CAND07780,EMP01613,4.4,Fail
INT07403,CAND07399,EMP03644,2.5,Pass
INT07404,CAND12954,EMP09928,1.6,Fail
INT07405,CAND13120,EMP02580,3.4,Fail
INT07406,CAND02459,EMP06581,2.2,Pass
INT07407,CAND06405,EMP09478,3.8,Fail
INT07408,CAND12106,EMP07421,3.2,Fail
INT07409,CAND02188,EMP04043,4.0,Pass
INT07410,CAND03241,EMP03531,3.0,Fail
INT07411,CAND08988,EMP02103,3.4,Fail
INT07412,CAND13592,EMP00582,2.2,Fail
INT07413,CAND10287,EMP05652,1.5,Pass
INT07414,CAND08168,EMP08848,3.3,Fail
INT07415,CAND06861,EMP06351,4.8,Fail
INT07416,CAND07598,EMP02492,4.2,Pass
INT07417,CAND02496,EMP07614,2.5,Pass
INT07418,CAND07255,EMP02565,4.4,Fail
INT07419,CAND04373,EMP03543,1.2,Pass
INT07420,CAND04841,EMP02887,3.2,Pass
INT07421,CAND00412,EMP07677,4.0,Pass
INT07422,CAND11796,EMP09205,4.9,Fail
INT07423,CAND10471,EMP08840,4.9,Pass
INT07424,CAND13271,EMP01020,4.2,Fail
INT07425,CAND01616,EMP02012,2.3,Fail
INT07426,CAND03302,EMP09093,2.6,Fail
INT07427,CAND05626,EMP00361,2.6,Fail
INT07428,CAND05623,EMP01351,1.2,Pass
INT07429,CAND11084,EMP02209,2.4,Fail
INT07430,CAND05568,EMP00529,1.4,Pass
INT07431,CAND11181,EMP05230,3.8,Fail
INT07432,CAND09567,EMP07278,1.7,Pass
INT07433,CAND02387,EMP01136,2.9,Fail
INT07434,CAND06264,EMP01511,1.7,Pass
INT07435,CAND00452,EMP05919,3.8,Pass
INT07436,CAND03052,EMP07382,4.9,Pass
INT07437,CAND03438,EMP04262,4.7,Fail
INT07438,CAND14376,EMP02170,2.7,Fail
INT07439,CAND02139,EMP09848,4.0,Pass
INT07440,CAND12056,EMP07421,4.2,Pass
INT07441,CAND11429,EMP08330,2.6,Pass
INT07442,CAND04175,EMP08103,4.8,Pass
INT07443,CAND00357,EMP02969,3.7,Fail
INT07444,CAND12914,EMP06345,3.3,Fail
INT07445,CAND04409,EMP04717,3.9,Pass
INT07446,CAND09414,EMP08381,1.5,Pass
INT07447,CAND09251,EMP08810,1.2,Pass
INT07448,CAND12221,EMP07409,3.6,Pass
INT07449,CAND00317,EMP06265,2.2,Pass
INT07450,CAND09778,EMP00775,3.8,Pass
INT07451,CAND05897,EMP08942,1.7,Fail
INT07452,CAND13866,EMP08796,1.0,Pass
INT07453,CAND04456,EMP06955,1.6,Pass
INT07454,CAND13616,EMP07704,4.8,Fail
INT07455,CAND14916,EMP05563,4.6,Fail
INT07456,CAND06445,EMP00053,1.1,Fail
INT07457,CAND00931,EMP07884,4.5,Pass
INT07458,CAND11903,EMP02134,2.5,Pass
INT07459,CAND00600,EMP05210,2.7,Fail
INT07460,CAND14220,EMP05944,3.4,Pass
INT07461,CAND12223,EMP02814,3.4,Pass
INT07462,CAND00487,EMP06211,1.6,Fail
INT07463,CAND10097,EMP05609,4.3,Fail
INT07464,CAND01839,EMP00046,4.1,Pass
INT07465,CAND09266,EMP01088,4.9,Pass
INT07466,CAND12159,EMP01648,4.2,Pass
INT07467,CAND06183,EMP03199,1.9,Pass
INT07468,CAND09501,EMP05504,2.0,Pass
INT07469,CAND14702,EMP09262,1.3,Fail
INT07470,CAND05998,EMP01059,3.5,Pass
INT07471,CAND06781,EMP08999,1.1,Fail
INT07472,CAND14357,EMP06665,1.4,Pass
INT07473,CAND03009,EMP02393,3.1,Pass
INT07474,CAND04087,EMP04348,2.7,Pass
INT07475,CAND00114,EMP05321,4.8,Fail
INT07476,CAND14210,EMP09535,1.2,Pass
INT07477,CAND08906,EMP00156,3.1,Pass
INT07478,CAND13167,EMP08777,3.4,Fail
INT07479,CAND14619,EMP05978,2.7,Fail
INT07480,CAND03757,EMP01537,2.8,Fail
INT07481,CAND09383,EMP07147,4.7,Pass
INT07482,CAND14491,EMP08374,3.7,Pass
INT07483,CAND03241,EMP07584,1.2,Pass
INT07484,CAND08348,EMP06839,4.9,Fail
INT07485,CAND14144,EMP07979,1.6,Fail
INT07486,CAND01189,EMP02507,1.7,Pass
INT07487,CAND07623,EMP06104,1.8,Pass
INT07488,CAND09164,EMP02835,1.5,Pass
INT07489,CAND07371,EMP02861,3.1,Fail
INT07490,CAND11477,EMP03006,2.5,Pass
INT07491,CAND01088,EMP02957,2.6,Fail
INT07492,CAND04291,EMP01537,1.8,Fail
INT07493,CAND04235,EMP07939,3.7,Pass
INT07494,CAND04719,EMP05974,1.8,Fail
INT07495,CAND07575,EMP05712,3.9,Fail
INT07496,CAND12222,EMP03756,1.5,Fail
INT07497,CAND03464,EMP00955,1.7,Fail
INT07498,CAND11391,EMP04017,4.5,Fail
INT07499,CAND04406,EMP06997,4.6,Fail
INT07500,CAND03298,EMP00669,4.3,Fail
INT07501,CAND07416,EMP06996,3.7,Pass
INT07502,CAND10167,EMP05691,1.4,Fail
INT07503,CAND13653,EMP02685,1.4,Pass
INT07504,CAND09370,EMP00711,2.2,Fail
INT07505,CAND10510,EMP07689,3.0,Fail
INT07506,CAND12238,EMP05498,4.2,Fail
INT07507,CAND12744,EMP05624,3.5,Pass
INT07508,CAND07844,EMP06540,4.7,Fail
INT07509,CAND10652,EMP02423,3.1,Fail
INT07510,CAND13125,EMP06153,4.7,Pass
INT07511,CAND03418,EMP04344,4.8,Pass
INT07512,CAND12722,EMP08856,4.1,Fail
INT07513,CAND09339,EMP05283,2.3,Fail
INT07514,CAND12721,EMP09443,4.5,Pass
INT07515,CAND11714,EMP06840,2.5,Pass
INT07516,CAND05314,EMP06257,3.3,Fail
INT07517,CAND12006,EMP00138,2.5,Fail
INT07518,CAND04862,EMP02845,3.7,Fail
INT07519,CAND02970,EMP09751,4.2,Fail
INT07520,CAND00827,EMP00136,4.7,Fail
INT07521,CAND12608,EMP05859,1.4,Fail
INT07522,CAND08260,EMP04815,3.2,Pass
INT07523,CAND06489,EMP05937,3.0,Pass
INT07524,CAND13575,EMP01768,3.9,Pass
INT07525,CAND00182,EMP00057,4.9,Fail
INT07526,CAND10965,EMP00229,3.3,Pass
INT07527,CAND07988,EMP06190,3.5,Fail
INT07528,CAND02102,EMP05573,2.2,Fail
INT07529,CAND12552,EMP00056,1.4,Fail
INT07530,CAND00413,EMP07264,4.2,Pass
INT07531,CAND00848,EMP03088,2.3,Pass
INT07532,CAND01256,EMP03817,1.3,Fail
INT07533,CAND03148,EMP03402,4.1,Fail
INT07534,CAND07069,EMP09688,4.7,Fail
INT07535,CAND00512,EMP07431,4.4,Fail
INT07536,CAND00811,EMP00570,1.7,Pass
INT07537,CAND03878,EMP04614,3.5,Pass
INT07538,CAND01662,EMP06970,2.0,Fail
INT07539,CAND04355,EMP01896,2.6,Pass
INT07540,CAND01781,EMP09288,1.8,Pass
INT07541,CAND09504,EMP01027,2.8,Pass
INT07542,CAND09071,EMP06775,3.9,Pass
INT07543,CAND12351,EMP03065,1.1,Pass
INT07544,CAND12071,EMP01448,1.8,Pass
INT07545,CAND14174,EMP00126,2.5,Fail
INT07546,CAND11731,EMP03386,3.0,Pass
INT07547,CAND05681,EMP03949,3.9,Pass
INT07548,CAND00851,EMP04873,4.8,Pass
INT07549,CAND00404,EMP03460,3.2,Pass
INT07550,CAND04961,EMP09626,5.0,Pass
INT07551,CAND14180,EMP08886,1.8,Pass
INT07552,CAND03221,EMP06364,4.7,Pass
INT07553,CAND10402,EMP05762,3.6,Fail
INT07554,CAND09886,EMP04985,1.5,Fail
INT07555,CAND10122,EMP04634,4.8,Pass
INT07556,CAND08497,EMP04711,3.1,Fail
INT07557,CAND00454,EMP02137,1.8,Fail
INT07558,CAND01320,EMP02375,4.5,Fail
INT07559,CAND11176,EMP07025,2.6,Pass
INT07560,CAND05370,EMP06874,1.3,Pass
INT07561,CAND12973,EMP07826,2.8,Fail
INT07562,CAND13004,EMP05718,4.1,Fail
INT07563,CAND09179,EMP09932,1.6,Fail
INT07564,CAND11247,EMP02965,3.5,Fail
INT07565,CAND14023,EMP00770,2.5,Fail
INT07566,CAND12412,EMP06675,1.6,Pass
INT07567,CAND14649,EMP08707,1.3,Pass
INT07568,CAND14398,EMP00963,4.8,Pass
INT07569,CAND07645,EMP08754,3.2,Fail
INT07570,CAND13651,EMP06190,3.7,Pass
INT07571,CAND06426,EMP01556,1.8,Pass
INT07572,CAND09540,EMP07186,1.7,Fail
INT07573,CAND08891,EMP02287,2.2,Pass
INT07574,CAND14211,EMP06427,3.4,Fail
INT07575,CAND08427,EMP03620,3.6,Fail
INT07576,CAND04744,EMP07067,3.6,Fail
INT07577,CAND13116,EMP09307,4.5,Pass
INT07578,CAND14261,EMP09324,2.5,Pass
INT07579,CAND02287,EMP08480,4.5,Pass
INT07580,CAND00847,EMP08736,4.7,Pass
INT07581,CAND03794,EMP02691,4.3,Pass
INT07582,CAND14864,EMP09356,2.6,Fail
INT07583,CAND14162,EMP03054,4.9,Pass
INT07584,CAND13117,EMP09824,3.1,Fail
INT07585,CAND04002,EMP08698,2.1,Fail
INT07586,CAND04412,EMP04009,4.5,Pass
INT07587,CAND13833,EMP05293,2.6,Pass
INT07588,CAND04509,EMP08927,4.9,Pass
INT07589,CAND10191,EMP04410,3.6,Fail
INT07590,CAND11449,EMP04860,1.6,Fail
INT07591,CAND14864,EMP06988,3.1,Pass
INT07592,CAND13185,EMP01016,1.8,Pass
INT07593,CAND10737,EMP02780,2.3,Fail
INT07594,CAND03835,EMP06851,1.4,Pass
INT07595,CAND01499,EMP09658,2.7,Pass
INT07596,CAND12435,EMP01780,2.8,Pass
INT07597,CAND12404,EMP01664,2.2,Pass
INT07598,CAND07283,EMP04813,3.1,Fail
INT07599,CAND02272,EMP03653,2.4,Pass
INT07600,CAND12768,EMP09403,4.3,Fail
INT07601,CAND01601,EMP07780,3.3,Fail
INT07602,CAND03749,EMP02630,1.2,Fail
INT07603,CAND10831,EMP07671,4.4,Fail
